Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,1,860.1,1.94,Open Ended,25-Sep-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.45,12.57,10.62,0.09,-1.45,1.83,16.18,15.27,20.78,4.69,6.16,53,53,104021,22.23,6.91,13.13,Financials,2.93,5.49,7.39,8.27,1.58,2.28,1.2,7.5,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,737.5,0.52,Open Ended,24-Jun-13,CRISIL Dynamic Bond Index,21.5,21.5,19.61,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,0,1,104992,87,7.64,10.08,FMCG,6.85,8.69,7.35,3.5,3.72,6.7,0.64,1.45,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Parijat Garg,EQ-ELSS,1,75.8,0.52,Open Ended,28-Dec-22,NIFTY 50 - TRI,13.45,14.56,11.74,-1.64,-7.88,-1.39,9.91,15.78,25.81,13.93,16.41,3,50,555860,97.98,1.24,17.76,Financials,0.67,2.5,6.99,1.51,0.47,0.71,0.99,13.9,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,5,1254.2,2.08,Open Ended,30-Jun-23,BSE 500 - TRI,15.33,16.1,11.82,-0.61,-5.71,0.43,27.02,34.46,14.13,27.87,5.99,27,53,96024,48.74,17.75,28.15,Financials,4.57,4.03,7.23,16.98,1.4,2.02,0.92,15.45,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,7305,1.78,Open Ended,30-Oct-14,BSE 500 - TRI,46.19,50.23,39,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,43,31,179687,67.69,10.53,17.9,Financials,0.45,5.76,7.46,6.25,0.71,1,1.02,16.03,Equity : Multi Cap,1% on or before 12M
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,772.9,0.25,Open Ended,13-Nov-13,CRISIL Liquid Debt Index,1945.6,1945.6,1815.46,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,0,71,209477,72.06,22.8,34.83,Financials,0.14,0.42,6.99,1.61,10.39,12.82,1.31,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Parijat Garg,EQ-THEM,4,604.7,1.83,Open Ended,29-Nov-21,BSE 200 - TRI,18.69,20.71,15,-1.03,-9.99,-2.28,21.82,33.9,22.83,22,17.42,94,35,123986,60.76,37.72,23.23,Financials,4.36,1.36,7.02,12.78,0.96,1.37,1.1,19.17,Equity : Thematic,1% on or before 12M Nil after 12M
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,1,10.3,0.54,Open Ended,28-Dec-06,CRISIL Composite Bond Index,35.85,35.94,33.24,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,0,53,56977,2.05,1.93,12.47,Healthcare,9.35,2.89,6.92,2.6,2.17,3.78,0.4,1.74,FoFs : Domestic,0.25% on or before 15D Nil after 15D
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,13843.7,1.01,Open Ended,24-Jul-09,Nifty 50 Arbitrage - TRI,25.69,25.69,23.92,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,1402,191,205260,51.67,15.08,3.69,Financials,1.02,0.66,7.5,3.53,3.35,7.38,-0.08,0.99,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,3,187.4,1.25,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,63.05,65.76,53.88,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,0,64,63834,17.97,17.7,83.3,Financials,0.14,5.54,7.94,7.41,1.1,1.54,1.81,11.67,FoFs : Domestic,1% on or before 365D Nil after 365D
